name,eirp
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Europe Beam,47
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide beam,48
Ku-band Wide beam,48
Ku-band Wide Europe Beam,48
Ku-band Wide Europe Beam,48
Ku-band Europe B beam,49
Ku-band Sub Saharan Africa beam,0
Ku-band South-East Africa beam,0
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band South-East Africa beam,0
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Sub Saharan Africa beam,0
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band South-East Africa beam,0
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band South-East Africa beam,0
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band South-East Africa beam,0
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band South-East Africa beam,0
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ku-band Europe B beam,49
Ku-band Europe B beam,49
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ka-band Europe C beam,48
